domain,title,url
www.spectator.com.au,,https://www.spectator.com.au/2020/04/the-elgin-marbles/
www.spectator.com.au,,https://www.spectator.com.au/2020/04/pandamaniacs-unleash-pandamonium/
www.spectator.com.au,,https://www.spectator.com.au/2020/05/business-robbery-etc-43/
www.spectator.com.au,,https://www.spectator.com.au/2020/05/movie-buff-notes/
www.spectator.com.au,,https://www.spectator.com.au/2020/05/a-smaller-man/
www.spectator.com.au,,https://www.spectator.com.au/2020/05/the-emerging-global-backlash-against-china/
www.spectator.com.au,,https://www.spectator.com.au/2020/02/no-pay-no-way/
www.spectator.com.au,,https://www.spectator.com.au/2020/03/through-the-abcs-looking-glass/
www.spectator.com.au,,https://www.spectator.com.au/2020/04/simon-collins-74/
www.spectator.com.au,,https://www.spectator.com.au/2020/02/we-all-need-a-nigel-or-two/
www.spectator.com.au,,https://www.spectator.com.au/2020/05/thanks-malcolm/
www.spectator.com.au,,https://www.spectator.com.au/2020/05/australian-notes-280/
www.spectator.com.au,,https://www.spectator.com.au/2020/02/dog-of-a-fight/
www.spectator.com.au,,https://www.spectator.com.au/2020/02/fear-itself/
www.spectator.com.au,,https://www.spectator.com.au/2020/04/im-wasted-in-lockdown-land/
www.spectator.com.au,,https://www.spectator.com.au/2020/05/nightmare-memories/
www.spectator.com.au,,https://www.spectator.com.au/2020/02/go-slow-scomo/
www.spectator.com.au,,https://www.spectator.com.au/2020/02/fighting-fires/
www.spectator.com.au,,https://www.spectator.com.au/2020/05/a-leftie-jumps-out-of-the-closet-no-not-that-closet/
www.spectator.com.au,,https://www.spectator.com.au/2020/05/lathams-law-62/
www.spectator.com.au,,https://www.spectator.com.au/2020/02/roaring-into-the-twenties/
www.spectator.com.au,,https://www.spectator.com.au/2020/02/beagle-love/
www.spectator.com.au,,https://www.spectator.com.au/2020/02/entebbe-the-sequel/
www.spectator.com.au,,https://www.spectator.com.au/2020/02/will-morrison-fight/
www.spectator.com.au,,https://www.spectator.com.au/2020/02/bad-hair-day/
www.spectator.com.au,,https://www.spectator.com.au/2020/02/bruce-beresford-at-home-in-birchgrove-2018/
www.spectator.com.au,,https://www.spectator.com.au/2020/03/short-notes/
www.spectator.com.au,,https://www.spectator.com.au/2020/02/high-court-of-wokeness/
www.spectator.com.au,,https://www.spectator.com.au/2020/02/business-robbery-etc-38/
www.spectator.com.au,,https://www.spectator.com.au/2020/03/coronavirus-confusion/
www.spectator.com.au,,https://www.spectator.com.au/2020/03/anyone-remember-the-obama-pandemic/
www.spectator.com.au,,https://www.spectator.com.au/2020/03/mozarts-clarinet/
www.spectator.com.au,,https://www.spectator.com.au/2020/03/aussie-surfers-riding-a-wave-of-hypocrisy/
www.spectator.com.au,,https://www.spectator.com.au/2020/03/dr-who/
www.spectator.com.au,,https://www.spectator.com.au/2020/03/can-the-libs-move-just-a-smidgen-to-the-right-please/
www.spectator.com.au,,https://www.spectator.com.au/2020/03/business-robbery-etc-40/
www.spectator.com.au,,https://www.spectator.com.au/2020/03/xi-who-must-be-obeyed/
www.spectator.com.au,,https://www.spectator.com.au/2020/05/lathams-law-64/
www.spectator.com.au,,https://www.spectator.com.au/2020/03/brown-study-160/
www.spectator.com.au,,https://www.spectator.com.au/2020/03/threatened-with-extinction/
www.spectator.com.au,,https://www.spectator.com.au/2020/03/how-to-survive-the-end-of-the-world/
www.spectator.com.au,,https://www.spectator.com.au/2020/05/cover-of-may-issue-of-apollo/
www.spectator.com.au,,https://www.spectator.com.au/2020/05/snapping-turtles/
www.spectator.com.au,,https://www.spectator.com.au/2020/05/public-health-and-social-control/
www.spectator.com.au,,https://www.spectator.com.au/2020/05/worse-than-the-disease/
www.spectator.com.au,,https://www.spectator.com.au/2020/05/get-the-globalists-out-of-our-classrooms/
www.spectator.com.au,,https://www.spectator.com.au/2020/05/fear-porn-panic/
www.spectator.com.au,,https://www.spectator.com.au/2020/05/lathams-law-65/
www.spectator.com.au,,https://www.spectator.com.au/2020/05/coughing-fit/
www.spectator.com.au,,https://www.spectator.com.au/2020/05/us-notes-2/
www.spectator.com.au,,https://www.spectator.com.au/2020/03/trevs-islamophobic-vampire/
www.spectator.com.au,,https://www.spectator.com.au/2020/05/who-needs-queen-elizabeth-when-we-could-have-emperor-xi/
www.spectator.com.au,,https://www.spectator.com.au/2020/05/simon-collins-76/
www.spectator.com.au,,https://www.spectator.com.au/2020/05/business-robbery-etc-45/
www.spectator.com.au,,https://www.spectator.com.au/2020/05/emissions-goals-are-looking-sick/
www.spectator.com.au,,https://www.spectator.com.au/2020/05/sydney-opera-house-during-vivid-sydney-festival/
www.spectator.com.au,,https://www.spectator.com.au/2020/05/nothing-to-xi-here/
www.spectator.com.au,,https://www.spectator.com.au/2020/05/the-conspiravirus/
www.spectator.com.au,,https://www.spectator.com.au/2020/05/comfort-the-comfortable-afflict-the-afflicted/
